"match_name","full_name","marathon","year","vaporfly"
"ALEXANDRA BERNARDI","ALEXANDRA E. BERNARDI","Boston Marathon",2017,FALSE
"NORA COLLIGAN","NORA COLLIGAN","Boston Marathon",2017,FALSE
"RACHEL COOGAN","RACHEL COOGAN","Boston Marathon",2017,FALSE
"KATIE SCHIEMANN","KATIE M. SCHIEMANN","Boston Marathon",2017,FALSE
"AMANDA NURSE","AMANDA NURSE","Boston Marathon",2017,FALSE
"DESIREE LINDEN","DESIREE LINDEN","Boston Marathon",2018,FALSE
"KRISTA DUCHENE","KRISTA DUCHENE","Boston Marathon",2018,FALSE
"RACHEL HYLAND","RACHEL HYLAND","Boston Marathon",2018,FALSE
"SHALANE FLANAGAN","SHALANE FLANAGAN","Boston Marathon",2018,TRUE
"KIMI REED","KIMI REED","Boston Marathon",2018,FALSE
"EDNA KIPLAGAT","EDNA KIPLAGAT","Boston Marathon",2018,TRUE
"DOT MCMAHAN","DOT MCMAHAN","Boston Marathon",2018,FALSE
"MARGARET VIDO","MARGARET VIDO","Boston Marathon",2018,FALSE
"MOLLY HUDDLE","MOLLY HUDDLE","Boston Marathon",2018,FALSE
"SERENA BURLA","SERENA BURLA","Boston Marathon",2018,TRUE
"KELLY CALWAY","KELLY CALWAY","Boston Marathon",2018,TRUE
"JESSICA DRASKAU PETERSSON","JESSICA DRASKAU PETERSSON","Boston Marathon",2018,FALSE
"AMANDA NURSE","AMANDA NURSE","Boston Marathon",2018,FALSE
"KELBY LAUGHNER","KELBY LAUGHNER","Boston Marathon",2018,FALSE
"STEPHANIE ANDRE","STEPHANIE ANDRE","Boston Marathon",2018,TRUE
"EDNA KIPLAGAT","EDNA KIPLAGAT","Boston Marathon",2019,TRUE
"MESKEREM ASSEFA","MESKEREM ASSEFA","Boston Marathon",2019,TRUE
"DESIREE LINDEN","DESIREE LINDEN","Boston Marathon",2019,FALSE
"CAROLINE ROTICH","CAROLINE ROTICH","Boston Marathon",2019,FALSE
"LINDSAY FLANAGAN","LINDSAY FLANAGAN","Boston Marathon",2019,FALSE
"SHARON CHEROP","SHARON CHEROP","Boston Marathon",2019,NA
"SARA HALL","SARA HALL","Boston Marathon",2019,FALSE
"REBECCA (BECKY) WADE","BECKY WADE","Boston Marathon",2019,TRUE
"HILARY DIONNE","HILARY DIONNE","Boston Marathon",2019,TRUE
"KATE PALLARDY","KATE PALLARDY","Boston Marathon",2019,TRUE
"KIMI REED","KIMI REED","Boston Marathon",2019,TRUE
"CAITLIN CHRISMAN","CAITLIN CHRISMAN","Boston Marathon",2019,TRUE
"DOT MCMAHAN","DOT MCMAHAN","Boston Marathon",2019,FALSE
"AMANDA NURSE","AMANDA NURSE","Boston Marathon",2019,NA
"RACHEL HYLAND","RACHEL HYLAND","Boston Marathon",2019,FALSE
"CHRISTINA VERGARA ALESHIRE","CHRISTINA VERGARA-ALESHIRE","Boston Marathon",2019,FALSE
"RACHEL COOGAN","RACHEL COOGAN","Boston Marathon",2019,FALSE
"KRISTA DUCHENE","KRISTA DUCHENE","Boston Marathon",2019,FALSE
"MARGARET VIDO","MARGARET VIDO","Boston Marathon",2019,FALSE
"MADELINE DUHON","MADELINE DUHON","Boston Marathon",2019,FALSE
"SARAH CROUCH","SARAH CROUCH","Boston Marathon",2019,FALSE
"JENELLE DEATHERAGE","JENELLE DEATHERAGE","Boston Marathon",2019,FALSE
"SHALUINN FULLOVE","SHALUINN FULLOVE","Boston Marathon",2019,TRUE
