"match_name","full_name","marathon","year","vaporfly"
"YUKI KAWAUCHI","YUKI KAWAUCHI","Boston Marathon",2018,FALSE
"SHADRACK BIWOTT","SHADRACK BIWOTT","Boston Marathon",2018,FALSE
"TYLER PENNEL","TYLER PENNEL","Boston Marathon",2018,FALSE
"SCOTT SMITH","SCOTT SMITH","Boston Marathon",2018,FALSE
"ABDI NAGEEYE","ABDI NAGEEYE","Boston Marathon",2018,TRUE
"ELKANAH KIBET","ELKANAH KIBET","Boston Marathon",2018,TRUE
"DANIEL DALY","DANIEL DALY","Boston Marathon",2018,TRUE
"BENJAMIN P. ZYWICKI","BENJAMIN ZYWICKI","Boston Marathon",2018,TRUE
"STEPHEN SAMBU","STEPHEN SAMBU","Boston Marathon",2018,TRUE
"ABDI ABDIRAHMAN","ABDI ABDIRAHMAN","Boston Marathon",2018,TRUE
"DANIEL TAPIA","DANIEL TAPIA","Boston Marathon",2018,FALSE
"CHRIS CHAVEZ","CHRIS CHAVEZ","Boston Marathon",2018,FALSE
"LELISA DESISA","LELISA DESISA","Boston Marathon",2019,TRUE
"PHILEMON RONO","PHILEMON RONO","Boston Marathon",2019,TRUE
"JARED WARD","JARED WARD","Boston Marathon",2019,FALSE
"ELKANAH KIBET","ELKANAH KIBET","Boston Marathon",2019,TRUE
"AUGUSTUS MAIYO","AUGUSTUS MAIYO","Boston Marathon",2019,TRUE
"SHADRACK BIWOTT","SHADRACK BIWOTT","Boston Marathon",2019,FALSE
"YUKI KAWAUCHI","YUKI KAWAUCHI","Boston Marathon",2019,FALSE
"DATHAN RITZENHEIN","DATHAN RITZENHEIN","Boston Marathon",2019,FALSE
"BRENDAN GREGG","BRENDAN GREGG","Boston Marathon",2019,FALSE
"SCOTT OVERALL","SCOTT OVERALL","Boston Marathon",2019,TRUE
"BENJAMIN PAYNE","BEN PAYNE","Boston Marathon",2019,TRUE
"ABDI ABDIRAHMAN","ABDI ABDIRAHMAN","Boston Marathon",2019,TRUE
"TIMOTHY RITCHIE","TIMOTHY RITCHIE","Boston Marathon",2019,FALSE
"CESAR MARTINS","CESAR MARTINS","Boston Marathon",2019,FALSE
"MICHAEL WARDIAN","MICHAEL WARDIAN","Boston Marathon",2019,FALSE
"MATTHEW WILLIAMS","MATT WILLIAMS","Boston Marathon",2019,TRUE
"ELISHA BARNO","ELISHA BARNO","Cal Intl Marathon",2015,FALSE
"MACDONARD ONDARA","MACDONARD ONDARA","Cal Intl Marathon",2015,FALSE
"DEREJE ABERA ALI","DEREJE ABERA ALI","Cal Intl Marathon",2015,FALSE
"JULIUS KETER","JULIUS KETER","Cal Intl Marathon",2015,FALSE
"MESHACK KIRWA","MESHACK KIRWA","Cal Intl Marathon",2015,FALSE
"MASON FRANK","MASON FRANK","Cal Intl Marathon",2015,FALSE
"AZERYA TEKLAY","AZERYA TEKLAY","Cal Intl Marathon",2015,FALSE
"BRANDON MULL","BRANDON MULL","Cal Intl Marathon",2015,FALSE
"DAVID LE PORHO","DAVID LE PORHO","Cal Intl Marathon",2015,FALSE
"SAGE CANADAY","SAGE CANADAY","Cal Intl Marathon",2015,FALSE
"MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2015,FALSE
"JOSE MADERA","JOSE MADERA","Cal Intl Marathon",2015,FALSE
